Year,Undiscounted_Cash_Flow_AED,Discounted_Cash_Flow_AED,Cumulative_NPV_AED,Cumulative_Carbon_Sequestration_Tonnes
0,-18640000,-18640000.0,-18640000.0,0.0
1,2800000,2705314.009661836,-15934685.990338163,0.20960000000000004
2,2800000,2613829.9610259286,-13320856.029312234,0.6288000000000001
3,2800000,2525439.5758704627,-10795416.453441773,1.2576
4,2800000,2440038.2375560026,-8355378.21588577,2.096
5,2800000,2357524.8672038675,-5997853.3486819025,3.144
6,2800000,2277801.804061708,-3720051.5446201945,4.4016
7,2800000,2200774.689914694,-1519276.8547055004,5.8688
8,2800000,2126352.3574055014,607075.502700001,7.5456
9,2800000,2054446.7221309193,2661522.2248309203,9.432
10,2800000,1984972.678387362,4646494.903218282,11.528
11,2800000,1917847.9984418957,6564342.901660178,13.624
12,2800000,1852993.2352095612,8417336.13686974,15.72
13,2800000,1790331.6282217985,10207667.765091538,17.816000000000003
14,2800000,1729789.0127746847,11937456.777866224,19.912000000000003
15,2800000,1671293.7321494538,13608750.510015678,22.008000000000003
16,2800000,1614776.5528014048,15223527.062817082,24.104000000000003
17,2800000,1560170.5824168164,16783697.6452339,26.200000000000003
18,2800000,1507411.1907408857,18291108.835974786,28.296000000000003
19,2800000,1456435.9330829813,19747544.76905777,30.392000000000003
20,2800000,1407184.4764086776,21154729.24546645,32.488
21,2800000,1359598.5279310895,22514327.77339754,34.584
22,2800000,1313621.7661169951,23827949.539514534,36.68000000000001
23,2800000,1269199.7740260821,25097149.313540615,38.77600000000001
24,2800000,1226279.9749044273,26323429.28844504,40.872000000000014
25,2800000,1184811.5699559685,27508240.858401008,42.96800000000002
26,2800000,1144745.478218327,28652986.336619336,45.06400000000002
27,2800000,1106034.2784718138,29759020.61509115,47.160000000000025
28,2800000,1068632.1531128637,30827652.76820401,49.25600000000003
29,2800000,1032494.8339254721,31860147.60212948,51.35200000000003
30,2800000,997579.5496864466,32857727.15181593,53.448000000000036
