Month,Temp_Max_C,Temp_Mean_C,Temp_Min_C,Humidity_Pct,Solar_Rad_kWh_m2,Heat_Index_C,Comfort_Category
Jan,24.0,19.1,14.3,65,4.2,24.0,Comfortable
Feb,25.6,20.5,15.4,63,5.1,25.6,Comfortable
Mar,28.8,23.3,17.9,58,5.9,30.416293987715548,Caution
Apr,33.4,27.5,21.7,51,6.7,37.4194400211378,Caution
May,38.2,31.9,25.6,46,7.3,46.915359339395735,Extreme Caution / Danger
Jun,40.1,34.4,28.7,49,7.6,54.37585836747563,Extreme Caution / Danger
Jul,41.8,36.3,30.8,51,7.2,61.80162367521776,Extreme Caution / Danger
Aug,41.5,36.1,30.7,54,6.8,63.32743326394456,Extreme Caution / Danger
Sep,39.1,33.6,28.1,58,6.2,57.54082229889577,Extreme Caution / Danger
Oct,35.3,29.8,24.3,60,5.4,45.954185613117744,Extreme Caution / Danger
Nov,30.6,25.3,20.0,62,4.5,34.48168790929786,Caution
Dec,26.2,21.1,16.0,66,3.9,26.2,Comfortable
