Month,Ghaf_Native_Trees_m3,Date_Palms_m3,Low_Water_Shrubs_m3,Active_Turf_Grass_m3,Recycled_Graywater_Supply_m3,Total_Irrigation_Demand_m3,DEWA_Potable_Water_Needed_m3,DEWA_Cost_AED
Jan,45,32,80,120,172,277,105,924.0000000000001
Feb,42,30,75,122,161,269,108,950.4000000000001
Mar,60,45,110,186,221,401,180,1584.0000000000002
Apr,72,52,130,215,211,469,258,2270.4
May,85,62,155,256,212,558,346,3044.8
Jun,90,68,165,272,215,595,380,3344.0000000000005
Jul,95,70,172,283,218,620,402,3537.6000000000004
Aug,92,68,168,274,220,602,382,3361.6000000000004
Sep,82,60,148,245,216,535,319,2807.2000000000003
Oct,70,50,125,205,210,450,240,2112.0
Nov,55,38,95,152,190,340,150,1320.0
Dec,46,33,82,124,175,285,110,968.0000000000001
