Month,Tavg_C,Tmax_C,Tmin_C,RH_pct,GHI_kWh_m2_d,Wind_kmh,UTCI_Exposed_C,UTCI_Shaded_C,UTCI_Reduction_C,Comfort_Hrs_Monthly,Tolerable_Hrs_Monthly,Urban_Temp_C,Spine_Temp_C
Jan,19.2,24.0,14.3,65,4.2,15.6,41.1,13.3,27.8,0,0,21.6,16.0
Feb,20.2,25.0,15.5,64,4.9,16.8,47.6,14.2,33.4,0,0,22.8,17.0
Mar,24.2,30.0,18.3,61,5.6,17.9,57.4,18.2,39.2,155,0,26.6,21.0
Apr,27.8,34.0,21.7,54,6.4,17.6,68.0,22.1,45.9,240,270,30.4,24.7
May,31.3,37.5,25.1,50,6.9,16.9,76.3,26.0,50.3,155,310,33.8,28.1
Jun,33.4,39.9,26.9,55,7.1,19.1,80.5,28.2,52.3,0,270,35.9,30.2
Jul,35.8,41.7,30.0,55,6.9,17.9,82.6,31.3,51.3,0,0,38.4,32.6
Aug,36.2,42.1,30.4,53,6.6,16.1,81.1,32.1,49.0,0,0,38.8,33.0
Sep,33.6,39.5,27.7,59,6.2,14.3,75.5,29.7,45.8,0,150,36.1,30.4
Oct,30.3,36.5,24.1,60,5.4,13.4,65.0,26.1,38.9,217,248,32.8,27.1
Nov,25.6,31.0,20.1,61,4.5,13.9,51.6,20.7,30.9,390,0,28.0,22.4
Dec,21.2,26.0,16.3,65,3.9,14.8,41.4,15.7,25.7,0,0,23.6,18.0
