Month,TempMax_C,TempMin_C,TempAvg_C,RH_pct,WindSpeed_kmh,Rainfall_mm,SunshineHrs_Monthly,SunshineHrs_Daily,SolarGHI_kWh_m2_day
Jan,24.0,14.3,19.15,65,16.1,18.8,251,8.1,4.2
Feb,25.0,15.5,20.25,64,17.3,25.0,241,8.6,4.9
Mar,30.0,18.3,24.15,61,18.5,22.1,270,8.7,5.6
Apr,34.0,21.7,27.85,54,18.1,7.2,306,10.2,6.4
May,37.5,25.1,31.3,50,17.5,0.4,350,11.3,6.9
Jun,39.9,26.9,33.4,55,19.7,0.2,345,11.5,7.1
Jul,41.7,30.0,35.85,55,18.5,0.8,332,10.7,6.9
Aug,42.1,30.4,36.25,53,16.6,0.2,326,10.5,6.6
Sep,39.5,27.7,33.6,59,14.7,0.0,309,10.3,6.2
Oct,36.5,24.1,30.3,60,13.9,1.1,307,9.9,5.4
Nov,31.0,20.1,25.55,61,14.4,2.7,279,9.3,4.5
Dec,26.0,16.3,21.15,65,15.2,16.2,254,8.2,3.9
