Element,Area_sqm,Rate_AED_sqm,Cost_AED
Shaded Spine (Central Walkway),1260,400,504000
Main Entrance Plaza,240,500,120000
Secondary Entrance (E),240,500,120000
Children's Play Zone,1088,900,979200
Family Picnic & Shaded Seating,884,100,88400
Community Plaza & Event Lawn,1224,500,612000
Outdoor Fitness & Wellness,816,700,571200
Native Planting / Biodiversity Strip,1088,100,108800
Quiet Contemplation Garden,884,100,88400
Commercial & Service Kiosk Cluster,748,4500,3366000
Multipurpose Sports Lawn,1292,130,167960
Perimeter Shade Buffer (N),1008,100,100800
Perimeter Shade Buffer (S),1008,100,100800
"Path Network & Landscape Setbacks (between rooms, to entrances, perimeter jogging loop)",3220,400,1288000
Shaded Spine — overhead canopy structure,1592,2500,3980400
"Canopy trees (108 × Ghaf/Neem, supply+plant)",-,3500/tree,378000
"Site lighting (LED, spine + loop + bollards)",-,% of works,754438
Irrigation network (drip/subsurface),-,% of works,628698
"Smart infrastructure (sensors, digital wayfinding)",-,% of works,377219
