species,x,y,canopy_r_m,height_m
Ghaf,12.10032547506369,48.833805538244064,6.0,8.0
Ghaf,20.041199145522384,45.37129380857712,6.0,8.0
Ghaf,28.17164884893436,42.38093434046078,6.0,8.0
Ghaf,36.46362924266234,39.87304214216048,6.0,8.0
Ghaf,44.88853779673972,37.856267989286934,6.0,8.0
Ghaf,53.41731345603347,36.33756858463059,6.0,8.0
Ghaf,62.02053688405335,35.32218256156605,6.0,8.0
Ghaf,70.66853194262428,34.813612413800854,6.0,8.0
Ghaf,79.33146805737572,34.813612413800854,6.0,8.0
Ghaf,87.97946311594664,35.32218256156605,6.0,8.0
Ghaf,96.58268654396652,36.33756858463059,6.0,8.0
Ghaf,105.11146220326029,37.856267989286934,6.0,8.0
Ghaf,113.53637075733766,39.87304214216048,6.0,8.0
Ghaf,121.82835115106563,42.38093434046078,6.0,8.0
Ghaf,129.95880085447763,45.37129380857712,6.0,8.0
Ghaf,137.8996745249363,48.833805538244064,6.0,8.0
Neem,17.430806367007445,60.14026269601999,5.0,9.0
Neem,20.20401403114884,58.870909706298015,5.0,9.0
Neem,23.00518925913292,57.66452871212708,5.0,9.0
Neem,25.832902346837443,56.52173544359892,5.0,9.0
Neem,28.685710045365404,55.44311317598703,5.0,9.0
Neem,31.56215629767121,54.42921243204587,5.0,9.0
Neem,34.46077298172406,53.48055070102735,5.0,9.0
Neem,37.38008065982914,52.597612174557156,5.0,9.0
Neem,40.31858933372434,51.780847499506066,5.0,9.0
Neem,43.27479920506701,51.03067354798233,5.0,9.0
Neem,46.24720144092265,50.34747320456247,5.0,9.0
Neem,49.23427894386472,49.73159517086909,5.0,9.0
Neem,52.234507126292684,49.183353787595664,5.0,9.0
Neem,55.24635468857301,48.70302887406868,5.0,9.0
Neem,58.268284400605815,48.29086558542943,5.0,9.0
Neem,61.29875388641858,47.94707428750827,5.0,9.0
Neem,64.33621641138616,47.671830449455115,5.0,9.0
Neem,67.3791216716754,47.46527455418078,5.0,9.0
Neem,70.42591658551166,47.32751202665547,5.0,9.0
Neem,73.47504608586287,47.25861318010044,5.0,9.0
Neem,76.52495391413713,47.25861318010044,5.0,9.0
Neem,79.57408341448833,47.32751202665547,5.0,9.0
Neem,82.6208783283246,47.46527455418078,5.0,9.0
Neem,85.66378358861384,47.671830449455115,5.0,9.0
Neem,88.7012461135814,47.94707428750827,5.0,9.0
Neem,91.73171559939418,48.29086558542943,5.0,9.0
Neem,94.75364531142698,48.70302887406868,5.0,9.0
Neem,97.76549287370732,49.183353787595664,5.0,9.0
Neem,100.76572105613528,49.73159517086909,5.0,9.0
Neem,103.75279855907735,50.34747320456247,5.0,9.0
Neem,106.72520079493299,51.03067354798233,5.0,9.0
Neem,109.68141066627567,51.780847499506066,5.0,9.0
Neem,112.61991934017084,52.597612174557156,5.0,9.0
Neem,115.53922701827592,53.48055070102735,5.0,9.0
Neem,118.43784370232878,54.42921243204587,5.0,9.0
Neem,121.31428995463459,55.44311317598703,5.0,9.0
Neem,124.16709765316254,56.52173544359892,5.0,9.0
Neem,126.99481074086707,57.66452871212705,5.0,9.0
Neem,129.79598596885114,58.870909706298015,5.0,9.0
Neem,132.56919363299255,60.14026269601999,5.0,9.0
Date Palm,89.00343262521875,62.57324085224328,3.0,12.0
Date Palm,93.3299541568502,67.62223427898425,3.0,12.0
Date Palm,54.256124489319326,73.05728583916628,3.0,12.0
Date Palm,88.3483171547665,69.35470991484672,3.0,12.0
Date Palm,55.99079864629624,62.79801308636125,3.0,12.0
Date Palm,68.39576120972339,72.10297079604857,3.0,12.0
Date Palm,82.35375446823562,70.0715065461412,3.0,12.0
Date Palm,72.10758182401062,58.439350788362624,3.0,12.0
Date Palm,77.79013510147783,55.24729222917332,3.0,12.0
Date Palm,91.74706971101008,66.33886655591495,3.0,12.0
Date Palm,88.19231423701243,60.925611344644715,3.0,12.0
Date Palm,99.0600202338337,71.44581602843814,3.0,12.0
Ficus nitida,60.99327701297413,13.09854872386159,4.5,8.0
Ficus nitida,50.801377257293126,9.534911058978018,4.5,8.0
Ficus nitida,40.58432927966934,24.63776584797818,4.5,8.0
Ficus nitida,59.89380131047553,31.35845757254409,4.5,8.0
Ficus nitida,46.19384723199653,17.252508826376104,4.5,8.0
Ficus nitida,50.894080341496476,12.976464553946922,4.5,8.0
Ficus nitida,39.787454187789784,19.739040299705863,4.5,8.0
Ficus nitida,42.95912354733455,24.32507572345022,4.5,8.0
Ficus nitida,49.83441730818211,28.172917571880767,4.5,8.0
Ficus nitida,58.43867108945099,15.879997719656025,4.5,8.0
Ficus nitida,62.75512485983645,27.5134231264565,4.5,8.0
Ficus nitida,48.21000709075548,15.312061429169896,4.5,8.0
Ficus nitida,57.85757466091399,11.801802669419967,4.5,8.0
Ficus nitida,42.07613959814756,8.673941537846419,4.5,8.0
Ficus nitida,61.272578497783954,24.207816250325916,4.5,8.0
Ficus nitida,58.59891856610911,26.945562698753157,4.5,8.0
Ficus nitida,50.546132866429296,21.937122192805678,4.5,8.0
Ficus nitida,40.11039979313067,11.205896115500238,4.5,8.0
Ficus nitida,57.39672428490362,19.630154333038227,4.5,8.0
Ficus nitida,54.022990615092766,26.573920436224665,4.5,8.0
Ficus nitida,56.29517854309197,21.5789084789239,4.5,8.0
Ficus nitida,53.8258337165785,15.681147835334343,4.5,8.0
Ficus nitida,36.54659364330647,18.81791782377651,4.5,8.0
Ficus nitida,42.556085429650466,18.15192840619159,4.5,8.0
Ficus nitida,63.44654622761918,14.027071855640786,4.5,8.0
Ficus nitida,37.445397394648744,15.147996957301416,4.5,8.0
Ficus nitida,45.13981844456167,24.13848926912975,4.5,8.0
Ficus nitida,53.75470719960603,27.020437938096617,4.5,8.0
Ficus nitida,57.26299316710718,18.10132649714599,4.5,8.0
Ficus nitida,62.158664551412535,12.444914740931134,4.5,8.0
Ficus nitida,36.281521298243476,10.627477518866542,4.5,8.0
Ficus nitida,59.16119103219776,19.412346116521817,4.5,8.0
Ficus nitida,40.81266207666154,20.33772147162761,4.5,8.0
Ficus nitida,40.51966524563248,24.95131745658667,4.5,8.0
Olive,72.82546443620774,83.76315102702478,3.5,6.0
Olive,66.98385650821365,86.87876279394831,3.5,6.0
Olive,69.41915662367639,80.09619249910926,3.5,6.0
Olive,59.5727657242624,91.02374454936641,3.5,6.0
Olive,91.5009618501424,87.74652629246664,3.5,6.0
Olive,65.5444116136815,91.1147239238,3.5,6.0
Olive,86.25764906820802,87.9613037771375,3.5,6.0
Olive,72.95491088962932,82.40347300715358,3.5,6.0
Olive,58.699823590919905,90.28259064762779,3.5,6.0
Olive,73.21397885185534,81.53003908684377,3.5,6.0
Olive,67.16335373896975,86.24050681035564,3.5,6.0
Neem,4.883034347117437,71.70126928054823,5.0,9.0
Neem,14.370896815184716,67.38266746826096,5.0,9.0
Neem,9.047120343465128,64.4809315936258,5.0,9.0
Neem,11.526209173478032,65.19059745090132,5.0,9.0
Neem,3.377224899768688,57.82120391820004,5.0,9.0
Neem,2.6786966329086757,60.28303240532922,5.0,9.0
Neem,7.379794271067957,49.2790760912496,5.0,9.0
Neem,3.6864265108077943,63.23198866135391,5.0,9.0
Neem,4.78224610989826,73.85837139616068,5.0,9.0
Neem,141.16741466925257,55.65050649864931,5.0,9.0
Neem,141.32813191418632,45.446363770314974,5.0,9.0
Neem,147.32413118348907,59.915021748249664,5.0,9.0
Neem,144.4565710182239,47.33330932415361,5.0,9.0
Neem,139.62777414377786,60.17963178709711,5.0,9.0
Neem,146.98599511299884,62.730811514970256,5.0,9.0
Neem,139.41299856440008,53.13481096217726,5.0,9.0
Neem,137.0983809424891,61.1231783611895,5.0,9.0
Neem,138.84905772926254,45.40883681751568,5.0,9.0
