x,y,shade_hours,shade_pct,dist_to_crescent_m,dist_to_edge_m,dist_to_tree_m,trees_within_10m,trees_within_20m,canopy_overhead,under_crescent_walk,under_gridshell,zone,category,albedo,sky_view_factor,summer_heat_index_c,comfort_gain_c,comfort_band,n_summer_hours_sampled
0.5,0.5,110.05000000000001,2.5,55.1763754368918,0.5,37.18713577719853,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.82956110814314,0.19361305565246312,Danger,1058
1.5,0.5,110.05000000000001,2.5,54.801500146910804,0.5,36.22595788540742,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.82956110814314,0.19361305565246312,Danger,1058
2.5,0.5,99.045,2.25,54.42733758687242,0.5,35.26693893888191,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.84893162604027,0.17424253775533316,Danger,1058
3.5,0.5,99.045,2.25,54.05845120969102,0.5,34.31025997456647,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.84893162604027,0.17424253775533316,Danger,1058
4.5,0.5,99.045,2.25,53.69755780581718,0.5,33.35612233047857,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.84893162604027,0.17424253775533316,Danger,1058
5.5,0.5,99.045,2.25,53.3353922862744,0.5,32.40475049015752,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.84893162604027,0.17424253775533316,Danger,1058
6.5,0.5,99.045,2.25,52.98050343981202,0.5,31.456395402729743,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.84893162604027,0.17424253775533316,Danger,1058
7.5,0.5,88.04,2.0,52.63282788405553,0.5,30.511338370127095,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.86830008904886,0.15487407474674342,Danger,1058
8.5,0.5,88.04,2.0,52.28398292113345,0.5,29.569895612597332,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.86830008904886,0.15487407474674342,Danger,1058
9.5,0.5,88.04,2.0,51.94309584151946,0.5,28.632423647735727,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.86830008904886,0.15487407474674342,Danger,1058
10.5,0.5,88.04,2.0,51.608514332884106,0.5,27.699325647873255,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.86830008904886,0.15487407474674342,Danger,1058
11.5,0.5,88.04,2.0,51.27369439379144,0.5,26.77105897700803,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.86830008904886,0.15487407474674342,Danger,1058
12.5,0.5,88.04,2.0,50.94681740442332,0.5,25.84814415299395,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.86830008904886,0.15487407474674342,Danger,1058
13.5,0.5,88.04,2.0,50.625917864853996,0.5,24.93117553500974,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.86830008904886,0.15487407474674342,Danger,1058
14.5,0.5,77.03500000000001,1.7500000000000002,50.30513528611981,0.5,24.020834102107724,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.88766650022696,0.13550766356864585,Danger,1058
15.5,0.5,77.03500000000001,1.7500000000000002,49.992280906129054,0.5,23.117902767433172,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.88766650022696,0.13550766356864585,Danger,1058
16.5,0.5,77.03500000000001,1.7500000000000002,49.68566465528659,0.5,22.22328476548882,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.88766650022696,0.13550766356864585,Danger,1058
17.5,0.5,66.03,1.5,49.37893587101753,0.5,21.338025756182798,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.90703086253535,0.11614330126025152,Danger,1058
18.5,0.5,66.03,1.5,49.080120838617134,0.5,20.46334040607822,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.90703086253535,0.11614330126025152,Danger,1058
19.5,0.5,66.03,1.5,48.78840001293565,0.5,19.60064432559671,0,1,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.90703086253535,0.11614330126025152,Danger,1058
20.5,0.5,66.03,1.5,48.49574549221166,0.5,18.75159234257346,0,1,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.90703086253535,0.11614330126025152,Danger,1058
21.5,0.5,88.04,2.0,48.21099069076682,0.5,17.91812414248692,0,1,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.86830008904886,0.15487407474674342,Danger,1058
22.5,0.5,121.055,2.75,47.934138375182805,0.5,17.102518241156353,0,1,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.81018853220216,0.21298563159344042,Danger,1058
23.5,0.5,121.055,2.75,47.65622926153814,0.5,16.307454969816682,0,2,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.81018853220216,0.21298563159344042,Danger,1058
24.5,0.5,132.06,3.0,47.385559537292465,0.5,15.53608847155911,0,4,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.79081389496349,0.23236026883211025,Danger,1058
25.5,0.5,121.055,2.75,47.122778618871436,0.5,14.792126365050594,0,4,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.81018853220216,0.21298563159344042,Danger,1058
26.5,0.5,121.055,2.75,46.86106403396052,0.5,14.07991334501523,0,4,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.81018853220216,0.21298563159344042,Danger,1058
27.5,0.5,99.045,2.25,46.60450789618353,0.5,13.404511076747669,0,4,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.84893162604027,0.17424253775533316,Danger,1058
28.5,0.5,33.015,0.75,46.355827545922246,0.5,12.771760826533045,0,4,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.96511168440199,0.05806247939361242,Danger,1058
