Element,Unit,Rate_AED,Basis
Shaded walkway paving,per_sqm,400,Dubai landscape contractor rates 2025 (upper bound of quoted range)
Entrance plaza hard paving,per_sqm,500,Dubai landscape contractor rates 2025
Children's play zone (safety surface + equipment),per_sqm,900,Dubai landscape contractor rates 2025
Soft landscape / planting bed,per_sqm,100,Dubai landscape contractor rates 2025
Community plaza,per_sqm,500,Dubai landscape contractor rates 2025
Outdoor fitness zone,per_sqm,700,Dubai landscape contractor rates 2025
Kiosk / built structure,per_sqm,4500,Dubai light commercial build rates 2025
Sports lawn turf,per_sqm,130,Dubai landscape contractor rates 2025
ETFE canopy structure,per_sqm,2500,"Tensile/ETFE canopy supply and install, Gulf regional rates 2025"
Canopy tree supply and planting,per_tree,3500,Dubai nursery + planting rates 2025 (semi-mature stock)
DEWA water tariff,per_m3,8.80,DEWA published schedule: AED 7.70/m3 slab + AED 1.10/m3 fuel surcharge
DEWA electricity tariff,per_kWh,0.44,DEWA published non-residential slab rate 2025
