Zone,Category,Area_sqm,Pct_of_site,Rate_AED_sqm,SurfaceAlbedo,ShadeStructure,Residual,Polygon_WKT
Al Mamsha — the Crescent Walk,Circulation,871.2,5.81,400,0.3,1,0,"POLYGON((16.26,57.65 18.01,56.84 19.77,56.06 21.54,55.30 23.32,54.56 25.11,53.85 26.91,53.17 28.72,52.51 30.54,51.87 32.36,51.26 34.20,50.68 36.04,50.12 37.90,49.59 39.76,49.09 41.62,48.61 43.49,48.15 45.37,47.72 47.26,47.32 49.15,46.95 51.04,46.60 52.94,46.28 54.84,45.98 56.75,45.71 58.66,45.47 60.58,45.26 62.49,45.07 64.41,44.91 66.34,44.77 68.26,44.66 70.18,44.58 72.11,44.53 74.04,44.50 75.96,44.50 77.89,44.53 79.82,44.58 81.74,44.66 83.66,44.77 85.59,44.91 87.51,45.07 89.42,45.26 91.34,45.47 93.25,45.71 95.16,45.98 97.06,46.28 98.96,46.60 100.85,46.95 102.74,47.32 104.63,47.72 106.51,48.15 108.38,48.61 110.24,49.09 112.10,49.59 113.96,50.12 115.80,50.68 117.64,51.26 119.46,51.87 121.28,52.51 123.09,53.17 124.89,53.85 126.68,54.56 128.46,55.30 130.23,56.06 131.99,56.84 133.74,57.65 136.73,51.32 134.89,50.47 133.04,49.65 131.18,48.85 129.31,48.07 127.43,47.33 125.54,46.61 123.63,45.91 121.72,45.25 119.80,44.61 117.87,43.99 115.93,43.41 113.99,42.85 112.04,42.32 110.08,41.81 108.11,41.34 106.13,40.89 104.15,40.47 102.17,40.07 100.18,39.71 98.18,39.37 96.18,39.06 94.18,38.78 92.17,38.52 90.16,38.30 88.14,38.10 86.12,37.93 84.10,37.79 82.08,37.67 80.06,37.59 78.04,37.53 76.01,37.50 73.99,37.50 71.96,37.53 69.94,37.59 67.92,37.67 65.90,37.79 63.88,37.93 61.86,38.10 59.84,38.30 57.83,38.52 55.82,38.78 53.82,39.06 51.82,39.37 49.82,39.71 47.83,40.07 45.85,40.47 43.87,40.89 41.89,41.34 39.92,41.81 37.96,42.32 36.01,42.85 34.07,43.41 32.13,43.99 30.20,44.61 28.28,45.25 26.37,45.91 24.46,46.61 22.57,47.33 20.69,48.07 18.82,48.85 16.96,49.65 15.11,50.47 13.27,51.32))"
Al Falaj — the water channel,Water,105.2,0.70,100,0.06,1,0,"POLYGON((18.60,62.63 20.28,61.85 21.97,61.10 23.67,60.37 25.38,59.66 27.10,58.98 28.83,58.32 30.57,57.69 32.31,57.08 34.07,56.49 35.83,55.93 37.60,55.40 39.38,54.89 41.16,54.40 42.95,53.94 44.75,53.51 46.55,53.10 48.36,52.71 50.18,52.35 52.00,52.02 53.82,51.71 55.65,51.42 57.48,51.17 59.32,50.93 61.15,50.73 62.99,50.55 64.84,50.39 66.68,50.26 68.53,50.16 70.38,50.08 72.23,50.03 74.08,50.00 75.92,50.00 77.77,50.03 79.62,50.08 81.47,50.16 83.32,50.26 85.16,50.39 87.01,50.55 88.85,50.73 90.68,50.93 92.52,51.17 94.35,51.42 96.18,51.71 98.00,52.02 99.82,52.35 101.64,52.71 103.45,53.10 105.25,53.51 107.05,53.94 108.84,54.40 110.62,54.89 112.40,55.40 114.17,55.93 115.93,56.49 117.69,57.08 119.43,57.69 121.17,58.32 122.90,58.98 124.62,59.66 126.33,60.37 128.03,61.10 129.72,61.85 131.40,62.63 131.78,61.81 130.09,61.03 128.39,60.27 126.68,59.54 124.96,58.83 123.23,58.14 121.49,57.48 119.74,56.84 117.98,56.23 116.21,55.64 114.44,55.07 112.65,54.54 110.86,54.02 109.07,53.53 107.26,53.07 105.45,52.63 103.64,52.22 101.82,51.83 99.99,51.47 98.16,51.13 96.32,50.82 94.48,50.53 92.64,50.27 90.79,50.04 88.94,49.83 87.09,49.65 85.23,49.49 83.37,49.36 81.52,49.26 79.65,49.18 77.79,49.13 75.93,49.10 74.07,49.10 72.21,49.13 70.35,49.18 68.48,49.26 66.63,49.36 64.77,49.49 62.91,49.65 61.06,49.83 59.21,50.04 57.36,50.27 55.52,50.53 53.68,50.82 51.84,51.13 50.01,51.47 48.18,51.83 46.36,52.22 44.55,52.63 42.74,53.07 40.93,53.53 39.14,54.02 37.35,54.54 35.56,55.07 33.79,55.64 32.02,56.23 30.26,56.84 28.51,57.48 26.77,58.14 25.04,58.83 23.32,59.54 21.61,60.27 19.91,61.03 18.22,61.81))"
Crescent Shade Margin (N),Green,549.0,3.66,100,0.18,1,0,"POLYGON((18.22,61.81 19.91,61.03 21.61,60.27 23.32,59.54 25.04,58.83 26.77,58.14 28.51,57.48 30.26,56.84 32.02,56.23 33.79,55.64 35.56,55.07 37.35,54.54 39.14,54.02 40.93,53.53 42.74,53.07 44.55,52.63 46.36,52.22 48.18,51.83 50.01,51.47 51.84,51.13 53.68,50.82 55.52,50.53 57.36,50.27 59.21,50.04 61.06,49.83 62.91,49.65 64.77,49.49 66.63,49.36 68.48,49.26 70.35,49.18 72.21,49.13 74.07,49.10 75.93,49.10 77.79,49.13 79.65,49.18 81.52,49.26 83.37,49.36 85.23,49.49 87.09,49.65 88.94,49.83 90.79,50.04 92.64,50.27 94.48,50.53 96.32,50.82 98.16,51.13 99.99,51.47 101.82,51.83 103.64,52.22 105.45,52.63 107.26,53.07 109.07,53.53 110.86,54.02 112.65,54.54 114.44,55.07 116.21,55.64 117.98,56.23 119.74,56.84 121.49,57.48 123.23,58.14 124.96,58.83 126.68,59.54 128.39,60.27 130.09,61.03 131.78,61.81 133.74,57.65 131.99,56.84 130.23,56.06 128.46,55.30 126.68,54.56 124.89,53.85 123.09,53.17 121.28,52.51 119.46,51.87 117.64,51.26 115.80,50.68 113.96,50.12 112.10,49.59 110.24,49.09 108.38,48.61 106.51,48.15 104.63,47.72 102.74,47.32 100.85,46.95 98.96,46.60 97.06,46.28 95.16,45.98 93.25,45.71 91.34,45.47 89.42,45.26 87.51,45.07 85.59,44.91 83.66,44.77 81.74,44.66 79.82,44.58 77.89,44.53 75.96,44.50 74.04,44.50 72.11,44.53 70.18,44.58 68.26,44.66 66.34,44.77 64.41,44.91 62.49,45.07 60.58,45.26 58.66,45.47 56.75,45.71 54.84,45.98 52.94,46.28 51.04,46.60 49.15,46.95 47.26,47.32 45.37,47.72 43.49,48.15 41.62,48.61 39.76,49.09 37.90,49.59 36.04,50.12 34.20,50.68 32.36,51.26 30.54,51.87 28.72,52.51 26.91,53.17 25.11,53.85 23.32,54.56 21.54,55.30 19.77,56.06 18.01,56.84 16.26,57.65))"
Crescent Shade Margin (S),Green,714.8,4.77,100,0.18,1,0,"POLYGON((13.27,51.32 15.11,50.47 16.96,49.65 18.82,48.85 20.69,48.07 22.57,47.33 24.46,46.61 26.37,45.91 28.28,45.25 30.20,44.61 32.13,43.99 34.07,43.41 36.01,42.85 37.96,42.32 39.92,41.81 41.89,41.34 43.87,40.89 45.85,40.47 47.83,40.07 49.82,39.71 51.82,39.37 53.82,39.06 55.82,38.78 57.83,38.52 59.84,38.30 61.86,38.10 63.88,37.93 65.90,37.79 67.92,37.67 69.94,37.59 71.96,37.53 73.99,37.50 76.01,37.50 78.04,37.53 80.06,37.59 82.08,37.67 84.10,37.79 86.12,37.93 88.14,38.10 90.16,38.30 92.17,38.52 94.18,38.78 96.18,39.06 98.18,39.37 100.18,39.71 102.17,40.07 104.15,40.47 106.13,40.89 108.11,41.34 110.08,41.81 112.04,42.32 113.99,42.85 115.93,43.41 117.87,43.99 119.80,44.61 121.72,45.25 123.63,45.91 125.54,46.61 127.43,47.33 129.31,48.07 131.18,48.85 133.04,49.65 134.89,50.47 136.73,51.32 139.07,46.35 137.17,45.46 135.25,44.61 133.32,43.78 131.37,42.98 129.42,42.20 127.46,41.45 125.48,40.73 123.50,40.04 121.50,39.38 119.50,38.74 117.49,38.13 115.47,37.55 113.44,37.00 111.41,36.48 109.37,35.98 107.32,35.52 105.26,35.08 103.20,34.67 101.13,34.29 99.06,33.94 96.99,33.62 94.90,33.32 92.82,33.06 90.73,32.83 88.64,32.62 86.55,32.44 84.45,32.30 82.35,32.18 80.25,32.09 78.15,32.03 76.05,32.00 73.95,32.00 71.85,32.03 69.75,32.09 67.65,32.18 65.55,32.30 63.45,32.44 61.36,32.62 59.27,32.83 57.18,33.06 55.10,33.32 53.01,33.62 50.94,33.94 48.87,34.29 46.80,34.67 44.74,35.08 42.68,35.52 40.63,35.98 38.59,36.48 36.56,37.00 34.53,37.55 32.51,38.13 30.50,38.74 28.50,39.38 26.50,40.04 24.52,40.73 22.54,41.45 20.58,42.20 18.63,42.98 16.68,43.78 14.75,44.61 12.83,45.46 10.93,46.35))"
West Gate Majlis,Arrival,439.0,2.93,500,0.35,1,0,"POLYGON((0.00,78.22 0.24,78.05 0.55,77.82 0.86,77.60 1.17,77.38 1.48,77.16 1.80,76.94 2.11,76.73 2.43,76.51 2.74,76.29 3.06,76.08 3.37,75.86 3.69,75.65 4.01,75.44 4.33,75.23 4.65,75.02 4.97,74.81 5.29,74.60 5.61,74.39 5.93,74.19 6.25,73.98 6.58,73.78 6.90,73.57 7.22,73.37 7.55,73.17 7.87,72.97 8.20,72.77 8.53,72.57 8.85,72.37 9.18,72.18 9.51,71.98 9.84,71.79 10.17,71.59 10.50,71.40 10.83,71.21 11.16,71.02 11.49,70.83 11.83,70.64 12.16,70.45 12.49,70.26 12.83,70.08 13.16,69.89 13.50,69.71 13.83,69.53 14.17,69.35 14.50,69.16 14.84,68.98 15.18,68.81 15.52,68.63 15.86,68.45 16.20,68.28 16.54,68.10 16.88,67.93 17.22,67.75 17.56,67.58 17.90,67.41 18.24,67.24 18.59,67.07 18.93,66.91 19.27,66.74 19.62,66.57 19.96,66.41 20.31,66.25 9.22,42.73 8.81,42.92 8.39,43.12 7.98,43.32 7.56,43.52 7.15,43.72 6.74,43.93 6.33,44.13 5.91,44.34 5.50,44.54 5.09,44.75 4.68,44.96 4.27,45.17 3.87,45.38 3.46,45.59 3.05,45.81 2.65,46.02 2.24,46.24 1.84,46.46 1.43,46.67 1.03,46.89 0.62,47.12 0.22,47.34 0.00,47.46))"
East Gate Majlis,Arrival,439.0,2.93,500,0.35,1,0,"POLYGON((129.69,66.25 130.04,66.41 130.38,66.57 130.73,66.74 131.07,66.91 131.41,67.07 131.76,67.24 132.10,67.41 132.44,67.58 132.78,67.75 133.12,67.93 133.46,68.10 133.80,68.28 134.14,68.45 134.48,68.63 134.82,68.81 135.16,68.98 135.50,69.16 135.83,69.35 136.17,69.53 136.50,69.71 136.84,69.89 137.17,70.08 137.51,70.26 137.84,70.45 138.17,70.64 138.51,70.83 138.84,71.02 139.17,71.21 139.50,71.40 139.83,71.59 140.16,71.79 140.49,71.98 140.82,72.18 141.15,72.37 141.47,72.57 141.80,72.77 142.13,72.97 142.45,73.17 142.78,73.37 143.10,73.57 143.42,73.78 143.75,73.98 144.07,74.19 144.39,74.39 144.71,74.60 145.03,74.81 145.35,75.02 145.67,75.23 145.99,75.44 146.31,75.65 146.63,75.86 146.94,76.08 147.26,76.29 147.57,76.51 147.89,76.73 148.20,76.94 148.52,77.16 148.83,77.38 149.14,77.60 149.45,77.82 149.76,78.05 150.00,78.22 150.00,47.46 149.78,47.34 149.38,47.12 148.97,46.89 148.57,46.67 148.16,46.46 147.76,46.24 147.35,46.02 146.95,45.81 146.54,45.59 146.13,45.38 145.73,45.17 145.32,44.96 144.91,44.75 144.50,44.54 144.09,44.34 143.67,44.13 143.26,43.93 142.85,43.72 142.44,43.52 142.02,43.32 141.61,43.12 141.19,42.92 140.78,42.73))"
Al Nakhil — the Oasis Basin,Green,1139.5,7.60,100,0.15,0,0,"POLYGON((51.66,76.03 52.39,75.88 53.12,75.72 53.86,75.58 54.59,75.43 55.32,75.30 56.06,75.16 56.79,75.03 57.53,74.91 58.27,74.80 59.01,74.68 59.74,74.58 60.48,74.47 61.22,74.38 61.96,74.28 62.71,74.20 63.45,74.12 64.19,74.04 64.93,73.97 65.68,73.90 66.42,73.84 67.17,73.78 67.91,73.73 68.66,73.69 69.40,73.64 70.15,73.61 70.89,73.58 71.64,73.55 72.39,73.53 73.13,73.52 73.88,73.51 74.63,73.50 75.37,73.50 76.12,73.51 76.87,73.52 77.61,73.53 78.36,73.55 79.11,73.58 79.85,73.61 80.60,73.64 81.34,73.69 82.09,73.73 82.83,73.78 83.58,73.84 84.32,73.90 85.07,73.97 85.81,74.04 86.55,74.12 87.29,74.20 88.04,74.28 88.78,74.38 89.52,74.47 90.26,74.58 90.99,74.68 91.73,74.80 92.47,74.91 93.21,75.03 93.94,75.16 94.68,75.30 95.41,75.43 96.14,75.58 96.88,75.72 97.61,75.88 98.34,76.03 103.06,54.55 102.18,54.36 101.30,54.17 100.42,54.00 99.54,53.82 98.66,53.66 97.77,53.50 96.89,53.35 96.00,53.20 95.12,53.06 94.23,52.92 93.34,52.79 92.45,52.67 91.56,52.55 90.67,52.44 89.78,52.34 88.89,52.24 88.00,52.15 87.10,52.06 86.21,51.98 85.31,51.91 84.42,51.84 83.52,51.78 82.63,51.72 81.73,51.67 80.83,51.63 79.94,51.59 79.04,51.56 78.14,51.54 77.24,51.52 76.35,51.51 75.45,51.50 74.55,51.50 73.65,51.51 72.76,51.52 71.86,51.54 70.96,51.56 70.06,51.59 69.17,51.63 68.27,51.67 67.37,51.72 66.48,51.78 65.58,51.84 64.69,51.91 63.79,51.98 62.90,52.06 62.00,52.15 61.11,52.24 60.22,52.34 59.33,52.44 58.44,52.55 57.55,52.67 56.66,52.79 55.77,52.92 54.88,53.06 54.00,53.20 53.11,53.35 52.23,53.50 51.34,53.66 50.46,53.82 49.58,54.00 48.70,54.17 47.82,54.36 46.94,54.55))"
Quiet Contemplation Garden,Passive,707.5,4.72,100,0.18,1,0,"POLYGON((55.61,94.00 94.39,94.00 97.69,78.96 96.98,78.81 96.27,78.66 95.56,78.52 94.85,78.38 94.13,78.25 93.42,78.12 92.70,77.99 91.99,77.87 91.27,77.76 90.55,77.65 89.84,77.55 89.12,77.45 88.40,77.35 87.68,77.26 86.95,77.18 86.23,77.10 85.51,77.02 84.79,76.95 84.06,76.89 83.34,76.83 82.62,76.77 81.89,76.72 81.17,76.68 80.44,76.64 79.72,76.61 78.99,76.58 78.27,76.55 77.54,76.53 76.82,76.52 76.09,76.51 75.36,76.50 74.64,76.50 73.91,76.51 73.18,76.52 72.46,76.53 71.73,76.55 71.01,76.58 70.28,76.61 69.56,76.64 68.83,76.68 68.11,76.72 67.38,76.77 66.66,76.83 65.94,76.89 65.21,76.95 64.49,77.02 63.77,77.10 63.05,77.18 62.32,77.26 61.60,77.35 60.88,77.45 60.16,77.55 59.45,77.65 58.73,77.76 58.01,77.87 57.30,77.99 56.58,78.12 55.87,78.25 55.15,78.38 54.44,78.52 53.73,78.66 53.02,78.81 52.31,78.96))"
Children's Dune Play,Active,1267.3,8.45,900,0.25,1,0,"POLYGON((34.53,94.00 53.64,94.00 44.24,55.17 43.85,55.27 43.46,55.36 43.07,55.46 42.69,55.56 42.30,55.66 41.91,55.76 41.53,55.86 41.14,55.96 40.76,56.06 40.37,56.17 39.99,56.28 39.60,56.38 39.22,56.49 38.83,56.60 38.45,56.71 38.07,56.83 37.68,56.94 37.30,57.05 36.92,57.17 36.54,57.29 36.15,57.40 35.77,57.52 35.39,57.64 35.01,57.76 34.63,57.89 34.25,58.01 33.87,58.14 33.49,58.26 33.12,58.39 32.74,58.52 32.36,58.65 31.98,58.78 31.61,58.91 31.23,59.04 30.85,59.18 30.48,59.31 30.10,59.45 29.73,59.59 29.35,59.73 28.98,59.87 28.61,60.01 28.23,60.15 27.86,60.29 27.49,60.44 27.12,60.58 26.74,60.73 26.37,60.88 26.00,61.03 25.63,61.18 25.26,61.33 24.89,61.48 24.53,61.64 24.16,61.79 23.79,61.95 23.42,62.10 23.06,62.26 22.69,62.42 22.32,62.58 21.96,62.74 21.59,62.90 21.23,63.07 20.87,63.23 20.50,63.40))"
Family Picnic Grove,Passive,1267.3,8.45,100,0.2,1,0,"POLYGON((96.36,94.00 115.47,94.00 129.50,63.40 129.13,63.23 128.77,63.07 128.41,62.90 128.04,62.74 127.68,62.58 127.31,62.42 126.94,62.26 126.58,62.10 126.21,61.95 125.84,61.79 125.47,61.64 125.11,61.48 124.74,61.33 124.37,61.18 124.00,61.03 123.63,60.88 123.26,60.73 122.88,60.58 122.51,60.44 122.14,60.29 121.77,60.15 121.39,60.01 121.02,59.87 120.65,59.73 120.27,59.59 119.90,59.45 119.52,59.31 119.15,59.18 118.77,59.04 118.39,58.91 118.02,58.78 117.64,58.65 117.26,58.52 116.88,58.39 116.51,58.26 116.13,58.14 115.75,58.01 115.37,57.89 114.99,57.76 114.61,57.64 114.23,57.52 113.85,57.40 113.46,57.29 113.08,57.17 112.70,57.05 112.32,56.94 111.93,56.83 111.55,56.71 111.17,56.60 110.78,56.49 110.40,56.38 110.01,56.28 109.63,56.17 109.24,56.06 108.86,55.96 108.47,55.86 108.09,55.76 107.70,55.66 107.31,55.56 106.93,55.46 106.54,55.36 106.15,55.27 105.76,55.17))"
